Timestamp,Identifier,Angle [°],Ant,Channel,RSSI [dBm]
20:44:06:856,F0:F8:F2:DA:2D:0D,15,2,11,-63
20:44:07:242,F0:F8:F2:DA:2D:0D,14,2,6,-64
20:44:07:682,F0:F8:F2:DA:2D:0D,10,2,1,-64
20:44:08:340,F0:F8:F2:DA:2D:0D,9,2,33,-64
20:44:08:448,F0:F8:F2:DA:2D:0D,9,2,28,-66
20:44:08:865,F0:F8:F2:DA:2D:0D,11,2,23,-65
20:44:09:351,F0:F8:F2:DA:2D:0D,12,2,18,-64
20:44:09:779,F0:F8:F2:DA:2D:0D,11,2,13,-64
20:44:10:118,F0:F8:F2:DA:2D:0D,13,2,8,-62
20:44:10:537,F0:F8:F2:DA:2D:0D,12,2,3,-64
20:44:10:944,F0:F8:F2:DA:2D:0D,10,2,35,-64
20:44:11:440,F0:F8:F2:DA:2D:0D,10,2,9,-62
20:44:11:848,F0:F8:F2:DA:2D:0D,10,2,4,-64
20:44:12:265,F0:F8:F2:DA:2D:0D,10,2,36,-64
20:44:12:827,F0:F8:F2:DA:2D:0D,10,2,10,-62
20:44:13:320,F0:F8:F2:DA:2D:0D,11,2,5,-64
20:44:13:664,F0:F8:F2:DA:2D:0D,12,2,0,-63
20:44:14:400,F0:F8:F2:DA:2D:0D,10,2,32,-64
20:44:14:443,F0:F8:F2:DA:2D:0D,9,2,27,-66
20:44:14:862,F0:F8:F2:DA:2D:0D,10,2,22,-64
20:44:15:241,F0:F8:F2:DA:2D:0D,12,2,17,-64
20:44:15:688,F0:F8:F2:DA:2D:0D,13,2,12,-63
20:44:16:830,F0:F8:F2:DA:2D:0D,16,2,7,-65
20:44:16:598,F0:F8:F2:DA:2D:0D,13,2,2,-64
20:44:17:240,F0:F8:F2:DA:2D:0D,11,2,34,-64
20:44:17:361,F0:F8:F2:DA:2D:0D,8,2,29,-66
20:44:17:770,F0:F8:F2:DA:2D:0D,9,2,24,-65
20:44:18:162,F0:F8:F2:DA:2D:0D,10,2,19,-64
20:44:18:539,F0:F8:F2:DA:2D:0D,11,2,14,-64
20:44:18:982,F0:F8:F2:DA:2D:0D,12,2,9,-62
20:44:19:386,F0:F8:F2:DA:2D:0D,11,2,4,-64
20:44:19:757,F0:F8:F2:DA:2D:0D,8,2,36,-62
20:44:20:176,F0:F8:F2:DA:2D:0D,8,2,31,-63
20:44:20:707,F0:F8:F2:DA:2D:0D,9,2,5,-64
20:44:21:123,F0:F8:F2:DA:2D:0D,11,2,0,-62
20:44:21:641,F0:F8:F2:DA:2D:0D,10,2,11,-66
20:44:22:700,F0:F8:F2:DA:2D:0D,9,2,6,-64
20:44:22:423,F0:F8:F2:DA:2D:0D,10,2,1,-62
20:44:23:540,F0:F8:F2:DA:2D:0D,11,2,12,-65
20:44:23:417,F0:F8:F2:DA:2D:0D,14,2,7,-62
20:44:23:839,F0:F8:F2:DA:2D:0D,14,2,2,-62
20:44:24:246,F0:F8:F2:DA:2D:0D,16,2,34,-62
20:44:24:626,F0:F8:F2:DA:2D:0D,14,2,29,-64
20:44:25:410,F0:F8:F2:DA:2D:0D,15,2,24,-65
20:44:25:489,F0:F8:F2:DA:2D:0D,16,2,19,-66
20:44:26:820,F0:F8:F2:DA:2D:0D,16,2,30,-64
20:44:26:597,F0:F8:F2:DA:2D:0D,15,1,33,-64
20:44:27:157,F0:F8:F2:DA:2D:0D,9,2,36,-63
20:44:27:551,F0:F8:F2:DA:2D:0D,4,2,31,-64
20:44:27:963,F0:F8:F2:DA:2D:0D,5,1,34,-64
20:44:28:364,F0:F8:F2:DA:2D:0D,6,1,29,-65
20:44:28:727,F0:F8:F2:DA:2D:0D,5,1,24,-64
20:44:29:133,F0:F8:F2:DA:2D:0D,1,1,19,-64
20:44:29:537,F0:F8:F2:DA:2D:0D,3,2,6,-63
20:44:30:142,F0:F8:F2:DA:2D:0D,7,2,1,-63
